AB.CD,AC.BD,AD.BC,undetermined,f,ρ,k,m
33479,32725,32631,1165,0.01,0,500,100000
32766,33052,32967,1215,0.01,1,500,100000
32237,33301,33155,1307,0.01,2,500,100000
32375,33053,33191,1381,0.01,3,500,100000
32107,33226,33371,1296,0.01,4,500,100000
31804,33534,33289,1373,0.01,5,500,100000
31430,33492,33577,1501,0.01,6,500,100000
31429,33450,33620,1501,0.01,7,500,100000
31228,33690,33613,1469,0.01,8,500,100000
31474,33346,33687,1493,0.01,9,500,100000
30981,33708,33696,1615,0.01,10,500,100000
31389,33636,33382,1593,0.01,11,500,100000
31036,33467,33875,1622,0.01,12,500,100000
31152,33656,33581,1611,0.01,13,500,100000
31269,33518,33610,1603,0.01,14,500,100000
31209,33380,33751,1660,0.01,15,500,100000
31133,33637,33473,1757,0.01,16,500,100000
31195,33617,33493,1695,0.01,17,500,100000
31137,33593,33521,1749,0.01,18,500,100000
31112,33651,33498,1739,0.01,19,500,100000
31352,33153,33696,1799,0.01,20,500,100000
34253,32336,32286,1125,0.02,0,500,100000
33402,32631,32742,1225,0.02,1,500,100000
33154,32800,32825,1221,0.02,2,500,100000
32654,32897,33199,1250,0.02,3,500,100000
32432,33067,33148,1353,0.02,4,500,100000
32331,33214,33063,1392,0.02,5,500,100000
32273,32961,33280,1486,0.02,6,500,100000
32281,32834,33356,1529,0.02,7,500,100000
32286,33264,32894,1556,0.02,8,500,100000
32165,33069,33171,1595,0.02,9,500,100000
32236,33022,33185,1557,0.02,10,500,100000
32092,33068,33221,1619,0.02,11,500,100000
31853,33326,33131,1690,0.02,12,500,100000
32215,33132,32990,1663,0.02,13,500,100000
31905,33009,33273,1813,0.02,14,500,100000
31760,33220,33343,1677,0.02,15,500,100000
31734,33266,33265,1735,0.02,16,500,100000
31922,33118,33244,1716,0.02,17,500,100000
31901,33125,33220,1754,0.02,18,500,100000
31789,33168,33279,1764,0.02,19,500,100000
31816,33119,33283,1782,0.02,20,500,100000
35019,31879,31980,1122,0.03,0,500,100000
34186,32302,32313,1199,0.03,1,500,100000
33633,32381,32726,1260,0.03,2,500,100000
33440,32507,32808,1245,0.03,3,500,100000
33164,32610,32916,1310,0.03,4,500,100000
33399,32400,32812,1389,0.03,5,500,100000
32849,32765,32955,1431,0.03,6,500,100000
32666,33170,32595,1569,0.03,7,500,100000
32670,32959,32818,1553,0.03,8,500,100000
32953,32862,32623,1562,0.03,9,500,100000
32702,32981,32794,1523,0.03,10,500,100000
32748,32655,32973,1624,0.03,11,500,100000
32664,33157,32593,1586,0.03,12,500,100000
32565,32972,32806,1657,0.03,13,500,100000
32624,32742,32916,1718,0.03,14,500,100000
32668,32859,32812,1661,0.03,15,500,100000
32686,32945,32648,1721,0.03,16,500,100000
32949,32628,32711,1712,0.03,17,500,100000
32846,32685,32657,1812,0.03,18,500,100000
32415,32738,33106,1741,0.03,19,500,100000
32801,32986,32461,1752,0.03,20,500,100000
35342,31809,31674,1175,0.04,0,500,100000
34902,31788,32036,1274,0.04,1,500,100000
34332,32367,32063,1238,0.04,2,500,100000
33838,32293,32509,1360,0.04,3,500,100000
33947,32183,32465,1405,0.04,4,500,100000
33533,32675,32360,1432,0.04,5,500,100000
33740,32275,32446,1539,0.04,6,500,100000
33435,32647,32374,1544,0.04,7,500,100000
33488,32556,32450,1506,0.04,8,500,100000
33605,32302,32563,1530,0.04,9,500,100000
33413,32536,32419,1632,0.04,10,500,100000
33454,32579,32316,1651,0.04,11,500,100000
33638,32122,32570,1670,0.04,12,500,100000
33417,32431,32452,1700,0.04,13,500,100000
33407,32467,32467,1659,0.04,14,500,100000
33427,32155,32656,1762,0.04,15,500,100000
33544,32372,32361,1723,0.04,16,500,100000
33547,32261,32446,1746,0.04,17,500,100000
33557,32474,32203,1766,0.04,18,500,100000
33760,32295,32192,1753,0.04,19,500,100000
33167,32566,32477,1790,0.04,20,500,100000
36016,31440,31412,1132,0.05,0,500,100000
35322,31546,31897,1235,0.05,1,500,100000
35133,31838,31739,1290,0.05,2,500,100000
34669,31960,32088,1283,0.05,3,500,100000
34728,31911,32004,1357,0.05,4,500,100000
34374,32207,32043,1376,0.05,5,500,100000
34328,31972,32299,1401,0.05,6,500,100000
34311,32177,32009,1503,0.05,7,500,100000
33976,32181,32276,1567,0.05,8,500,100000
34027,32101,32279,1593,0.05,9,500,100000
34083,32158,32189,1570,0.05,10,500,100000
34227,31989,32107,1677,0.05,11,500,100000
34253,31964,32192,1591,0.05,12,500,100000
34204,32225,31895,1676,0.05,13,500,100000
34192,32217,31971,1620,0.05,14,500,100000
34038,32169,32104,1689,0.05,15,500,100000
34334,32021,31953,1692,0.05,16,500,100000
34415,31766,32066,1753,0.05,17,500,100000
33885,32078,32206,1831,0.05,18,500,100000
33979,31979,32199,1843,0.05,19,500,100000
34464,32005,31801,1730,0.05,20,500,100000
36683,31080,31104,1133,0.06,0,500,100000
35881,31494,31380,1245,0.06,1,500,100000
35567,31484,31652,1297,0.06,2,500,100000
35163,31684,31866,1287,0.06,3,500,100000
35314,31683,31625,1378,0.06,4,500,100000
35178,31709,31670,1443,0.06,5,500,100000
35200,31560,31774,1466,0.06,6,500,100000
34981,31756,31789,1474,0.06,7,500,100000
34846,31785,31850,1519,0.06,8,500,100000
35168,31412,31833,1587,0.06,9,500,100000
34825,31859,31699,1617,0.06,10,500,100000
34793,31648,31875,1684,0.06,11,500,100000
35082,31525,31784,1609,0.06,12,500,100000
34872,31863,31590,1675,0.06,13,500,100000
34801,31641,31872,1686,0.06,14,500,100000
34861,31701,31797,1641,0.06,15,500,100000
35149,31539,31616,1696,0.06,16,500,100000
34792,31584,31869,1755,0.06,17,500,100000
34916,31704,31626,1754,0.06,18,500,100000
34878,31783,31550,1789,0.06,19,500,100000
34836,31746,31636,1782,0.06,20,500,100000
37156,30682,30997,1165,0.07,0,500,100000
36607,30959,31201,1233,0.07,1,500,100000
36301,31351,31040,1308,0.07,2,500,100000
36132,31381,31148,1339,0.07,3,500,100000
36202,31228,31199,1371,0.07,4,500,100000
35585,31482,31482,1451,0.07,5,500,100000
35821,31447,31244,1488,0.07,6,500,100000
35808,31479,31196,1517,0.07,7,500,100000
35861,31287,31377,1475,0.07,8,500,100000
35744,31189,31523,1544,0.07,9,500,100000
35499,31408,31554,1539,0.07,10,500,100000
35828,31153,31384,1635,0.07,11,500,100000
